id,name,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,type_label_fr,sector,supervisory_ministry,website
00096,,المدرسة العليا البحرية بتامنتفوست (تامنتفوست، ولاية الجزائر),16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Défense nationale,
00097,,المدرسة العليا العسكرية للإعلام والاتصال (سيدي فرج، ولاية الجزائر),16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Défense nationale,
00098,,المدرسة العليا لتقنيات الطيران (الدار البيضاء، ولاية الجزائر),16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Défense nationale,
00099,,المدرسة العليا للإدارة العسكرية (وهران),31,,,35.69694,-0.63306,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Défense nationale,
00100,,المدرسة العليا للإشارة ( القليعة، ولاية تيبازة),42,,,36.59194,2.44944,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Défense nationale,
00101,,المدرسة العليا للدرك الوطني (زرالدة، ولاية الجزائر),16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Défense nationale,
00102,,المدرسة العليا للدفاع الجوي عن الإقليم (الرغاية، ولاية الجزائر),16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Défense nationale,
00103,,المدرسة العليا للضمان الاجتماعي (بن عكنون، ولاية الجزائر).,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,"Ministère du Travail, de l'Emploi et de la Sécurité sociale",https://asal.dz/?p=8583&amp;lang=ar
00104,,المدرسة العليا للطيران( تافراوي، ولاية وهران),31,,,35.69694,-0.63306,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Défense nationale,
00105,,المدرسة العليا للعتاد (الحراش، ولاية الجزائر),16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Défense nationale,
00106,,المدرسة العليا للعلوم والتكنولوجيا واد الرمان العاشور.الجزائر,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,http://www.esst-sup.com/
00107,,المدرسة العليا للفندقة والإطعام عين البنيان بالجزائر,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,
00108,,المدرسة العليا للفنون الجميلة (الجزائر),16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Culture et des Arts,https://esba.dz/
00109,,المدرسة العليا لمهن البناء بلوزداد.الجزائر,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,
00110,,المدرسة المتخصصة في الحوامات (عين أرنات، ولاية سطيف),19,,,36.19,5.41,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Défense nationale,
00111,,المدرسة الوطنية التحضيرية لدراسة مهندس (الرويبة، ولاية الجزائر),16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Défense nationale,
00112,,المدرسة الوطنية العليا للاتصالات السلكية واللّاسلكية وتكنولوجيات الإعلام والاتصال (وهران).,31,,,35.69694,-0.63306,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Poste et des Télécommunications,http://www.ensttic.dz/
00113,,المدرسة الوطنية العليا للبريد وتكنولوجيات الإعلام والاتصال (الكاليتوس، ولاية الجزائر).,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Poste et des Télécommunications,https://inptic.edu.dz/
00114,,المدرسة الوطنية لحفظ الممتلكات الثقافية (تيبازة),42,,,36.59194,2.44944,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Culture et des Arts,https://encrbc.dz/ar/
00115,,المدرسة الوطنية لشبه الطبي للصحة العسكرية (عين النعجة،,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Défense nationale,
00116,,المدرسة الوطنية للصحة العسكرية (عين النعجة، ولاية الجزائر),16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Défense nationale,
00117,,المعهد العالي لألداب واللغات “الغفران” غرداية,47,,,32.483,3.667,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,
00118,,المعهد العالي لدراسات الأمن الوطني (الأبيار، ولاية الجزائر),16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Défense nationale,
00119,,المعهد العالي للتجارة والاقتصاد سطيف,19,,,36.19,5.41,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,https://www.incgdz.com/
00120,,المعهد العالي للتسيير دالي براهيم,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,https://isg.dz/
00121,,المعهد العالي للعلوم الانسانية والتطبيقية غرداية,47,,,32.483,3.667,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,
00122,,المعهد العالي للعلوم برج الكيفان الجزائر,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,https://his.edu.dz/
00123,,المعهد العالي للعلوم والتكنولوجيا – علوم تجريبية ابن رشد,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,private,,https://www.ibnrochd.com/sup/
00124,,المعهد الوطني العالي للموسيقى (الجزائر),16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Culture et des Arts,
00125,,المعهد الوطني للتكوين العالي شبه الطبي الجزائر,16,,,36.7325,3.08722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00126,,المعهد الوطني للتكوين العالي شبه الطبي بأدرار,01,,,27.867,-0.283,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00127,,المعهد الوطني للتكوين العالي شبه الطبي بالبليدة,09,,,36.46861,2.83194,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00128,,المعهد الوطني للتكوين العالي شبه الطبي بالبويرة,10,,,36.38,3.90139,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00129,,المعهد الوطني للتكوين العالي شبه الطبي بالتبسة,12,,,35.4,8.117,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00130,,المعهد الوطني للتكوين العالي شبه الطبي بالمدية,26,,,36.2675,2.75,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
00131,,المعهد الوطني للتكوين العالي شبه الطبي بالمسيلة,28,,,35.70194,4.54722,approximate,wilaya,mesrs,grande_ecole,Grande école,public,Ministère de la Santé,
