id,name,wilaya_code,commune_code,commune,commune_ar,lat,lng,geo_precision,geo_method,source,operator,technology,address
ooredoo-8a9b1f3703,BOUZAREAH,16,,BOUZAREAH,,36.7863951314,3.0120679533,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-8af5d549c5,DELLYS,35,,DELLYS,,36.882801662,3.9129976194,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-8cc0523cf3,TINDOUF,37,,TINDOUF,,27.0016756901,-6.5435002878,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-8db8a9b8cd,AIN TEMOUCHENT,46,,AIN TEMOUCHENT,,35.2734377857,-1.1349750302,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-8dd1284f43,EL OUED,39,,EL OUED,,33.3589395272,6.860077765,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-8e2c5a80af,BARAKI,16,,BARAKI,,36.6663090583,3.1007476715,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-903f54915c,CHETTIA,02,,CHETTIA,,36.1724615835,1.2515779479,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-91d92738ac,BIRKHADEM,16,,BIRKHADEM,,36.7145940193,3.0452451801,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-92d3e7a0fa,NAAMA,45,,NAAMA,,33.2555030862,-0.3258249634,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-930542abb9,HAMMADI,35,,HAMMADI,,36.6733634801,3.2644277433,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-968896fb2f,KHEMIS MILIANA,44,,KHEMIS MILIANA,,36.2547119299,2.2202496571,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-978d45d460,BIRTOUTA,16,,BIRTOUTA,,36.6416412929,3.0215148651,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-9b4096269d,AIN MERANE,02,,AIN MERANE,,36.1786717778,0.973182235,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-9b8ac29769,TISSEMSSILT,38,,TISSEMSSILT,,35.6040783781,1.8302668087,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-a05087d4c5,ORAN,31,,ORAN,,35.6936774024,-0.6486954818,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-a5840ed399,OUED SLY,02,,OUED SLY,,36.0960500279,1.2209257869,approximate,operator_commune_point,ooredoo,ooredoo,5G,
ooredoo-a68f357a40,BACHDJARAH,16,,BACHDJARAH,,36.7225980094,3.1112708011,approximate,operator_commune_point,ooredoo,ooredoo,5G,
