id,name,status,postal_code,postal_code_old,address,commune_fr,commune_ar,wilaya_code,wilaya_fr,wilaya_ar,lat,lng
1179,AIN TOUTA,1,05002,,,AIN TOUTA,عين التوتة,05,BATNA,باتنة,35.3774913,5.8924148
1260,NGAOUS,1,05004,,,N'GAOUS,نقاوس,05,BATNA,باتنة,35.5522539,5.6144556
2181,MEBARKI,1,05005,,,BATNA,باتنة,05,BATNA,باتنة,35.5455261,6.1907926
2182,BATNA 1ER NOV,1,05006,,,BATNA,باتنة,05,BATNA,باتنة,35.5547266,6.1772254
2184,ARRIS,1,05007,,,ARRIS,أريس,05,BATNA,باتنة,35.2575604,6.349831
2185,RAS EL AIOUN,1,05009,,,RAS EL AIOUN,رأس العيون,05,BATNA,باتنة,35.6746177,5.6534669
1181,HADJ LAKHDAR,1,05010,,,BATNA,باتنة,05,BATNA,باتنة,35.5463897,6.1621161
1406,MENAA,1,05012,,,MENAA,منعة,05,BATNA,باتنة,35.1771183,6.00471
1824,MEROUANA,1,05013,,,MEROUANA,مروانة,05,BATNA,باتنة,35.6341818,5.9060668
1180,BATNA AN NASR,1,05014,,,BATNA,باتنة,05,BATNA,باتنة,35.5501964,6.168874
1825,EL MADHER,1,05015,,,EL MADHER,المعذر,05,BATNA,باتنة,35.6235521,6.3698074
1826,OUED EL MA,1,05016,,,OUED EL MA,وادي الماء,05,BATNA,باتنة,35.64624,5.9956184
2180,NGAOUS 5 JUILLET,1,05019,,,N'GAOUS,نقاوس,05,BATNA,باتنة,35.5525548,5.6115048
1404,T KOUT,1,05020,,,T'KOUT,تكوت,05,BATNA,باتنة,35.1378333,6.30825
1665,BATNA EL BOUSTENE,1,05021,,,BATNA,باتنة,05,BATNA,باتنة,35.5342082,6.1660598
1668,TIMGAD,1,05023,,,TIMGAD,تيمقاد,05,BATNA,باتنة,35.4944567,6.4672033
1827,SERIANA,1,05025,,,SERIANA,سريانة,05,BATNA,باتنة,35.6924924,6.1853714
2178,MEDINA,1,05026,,,ICHMOUL,أشمول,05,BATNA,باتنة,35.3085867,6.510105
