id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,category,address,hours,code_ouverture
25-005,Constantine - Ali Menjeli,25,2510,Ain Smara,36.2581,6.5905,exact,operator_point,djezzy,"{""djezzy"":""ZA2""}",boutique,,"Lotissement Ain En Baye , lot N° 65 , ville Ali Mendjli , Constantine",08H00 - 20H00,
25-006,Constantine - Hamma Bouziane,25,2502,Hamma Bouziane,36.41647,6.5976,exact,operator_point,djezzy,"{""djezzy"":""ZA6""}",boutique,,"Boulvard de l'A.L.N Local A1/A2, Hamma Bouziane, Wilaya de Constantine",08H00 - 18H00,
25-007,Constantine - EL RIMEL,25,2501,Constantine,36.329123,6.591727,exact,operator_point,djezzy,"{""djezzy"":""ZH23""}",boutique,,Zone Industrielle EL RIMEL (Sables) N°51 A - Daïra Constantine - Commune Constantine. Wilaya Constantine,08H00 - 16H00,
25-008,Constantine - Ritedj MALL,25,2510,Ain Smara,36.25103,6.57281,exact,operator_point,djezzy,"{""djezzy"":""ZH8""}",boutique,,"lot N° 5-6 Nouvelle Ville Ali Mendjli , El-Khroub 25001.",09H00 - 21H00,
26-001,Médéa - Boukasmi El Tayeb,26,2601,Medea,36.26416,2.75592,exact,operator_point,djezzy,"{""djezzy"":""Z26""}",boutique,B,"06 Rue colonel Boukasmi El Tayeb, Médéa, Alger.",08H00-18H00,A26B001
27-001,MOSTAGANEM - Benyahia Belkacem,27,2701,Mostaganem,35.92825,0.09459,exact,operator_point,djezzy,"{""djezzy"":""Z18""}",boutique,B+,"33, Rue Benyahia Belkacem, Mostaganem.",08H00-18H00,O27B001
27-002,Mostaganem - UNO,27,2701,Mostaganem,35.89966,0.12107,exact,operator_point,djezzy,"{""djezzy"":""ZC4""}",boutique,,"Centre commercial/ Route de Relizen, Hassi Maameche.",09H00 - 20H30,
28-001,MSILA - Promotion Neggaz,28,2801,M'sila,35.70433,4.53541,exact,operator_point,djezzy,"{""djezzy"":""Z38""}",boutique,B,"Cité des 14 Logements, Promotion Neggaz, M'sila.",08H00-19H00,C28B001
29-001,MASCARA - Khemisti,29,2901,Mascara,35.39602,0.13903,exact,operator_point,djezzy,"{""djezzy"":""Z29""}",boutique,,Boulevard Mohamed Khemisti,08H00-18H00,
29-002,Mascara - Mohammadia,29,2931,Mohammadia,35.59332,0.07013,exact,operator_point,djezzy,"{""djezzy"":""Z93""}",boutique,C,"58, Rue Larbi Ben Mehidi, Mouhammadia, Mascara.",08H00-18H00,O29B002
29-003,Mascara - Tighennif,29,2906,Tighennif,35.41516,0.33185,exact,operator_point,djezzy,"{""djezzy"":""ZB8""}",boutique,,Avenue des Martyrs - Tighenif - Mascara,08H00-18H00,
29-004,Sig - Mascara,29,2926,Sig,35.53106,-0.19268,exact,operator_point,djezzy,"{""djezzy"":""ZF8""}",boutique,,"47 Boulevard de la Revolution, Sig - Mascara",08H00-18H00,
30-001,Ouargla - La Silice,30,3001,Ouargla,31.95883,5.33587,exact,operator_point,djezzy,"{""djezzy"":""Z28""}",boutique,C,"Cité du 24 Février, Quartier la Silice, Ouargla.",08H00 - 18H30,C30B003
