id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,type_label_fr,type_label_ar,address,operator_wilaya
09-002,ESO000613,09,0901,Blida,36.4806,2.83917,exact,operator_api,ooredoo,"{""ooredoo"":""1422934""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,R. YOUSFI ABDELKADER N°89,Blida
09-003,ESO000614,09,0920,Bouarfa,36.4786,2.80389,exact,operator_api,ooredoo,"{""ooredoo"":""1422936""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE. TAKHTIT ZAABANA,Blida
09-004,ESO000706,09,0920,Bouarfa,36.4783,2.80334,exact,operator_api,ooredoo,"{""ooredoo"":""1422938""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,"CTE Zabana N°3, Commune de Zabana , Wilaya de Blida",Blida
09-005,ESO000763,09,0903,Bouinan,36.5324,2.99505,exact,operator_api,ooredoo,"{""ooredoo"":""1422940""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CENTRE AMROUSSA LOT 54 coopropriete 68,Blida
09-006,ESO000114,09,0912,Mouzaia,36.4667,2.68917,exact,operator_api,ooredoo,"{""ooredoo"":""1422942""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,R.31 NOVEMBRE,Blida
09-007,ESO000653,09,0914,Meftah,36.6206,3.22222,exact,operator_api,ooredoo,"{""ooredoo"":""1422944""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,R. KOURIFA RABAH,Blida
09-008,ESO000632,09,0916,Boufarik,36.5696,2.90219,exact,operator_api,ooredoo,"{""ooredoo"":""1422946""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,RTE. DE BLIDA N°116,Blida
09-009,ESO000726,09,0917,Larbaa,36.5669,3.15235,exact,operator_api,ooredoo,"{""ooredoo"":""1422948""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,R. Kebir Mohamed N°59 local N°1,Blida
09-010,ESO000764,09,0917,Larbaa,36.5976,3.13745,exact,operator_api,ooredoo,"{""ooredoo"":""1422950""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,12 CTE .BELOUADI LOCAL N°3,Blida
09-011,ESO001011,09,0917,Larbaa,36.5958,3.18081,exact,operator_api,ooredoo,"{""ooredoo"":""1422952""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,Local est située à cite frère Sahraoui N° 49 N° 01,Blida
